observed_at,management_id,note_key,views,likes,comments
2026-08-25,AILAB-002,n3eae2826d2a6,40,11,2
2026-08-25,OTEPAY-007,n5f9f033b9984,37,11,0
2026-08-25,OTEPAY-010,n7a4f8948b729,41,8,0
2026-08-25,OTHER-002,n4dda5432aab6,41,15,0
2026-08-25,OTEPAY-006,n4a254917eef4,32,7,0
2026-08-25,LIFE-001,n9ba1ab2ca292,26,4,0
2026-08-25,LIFE-002,n980384a715f5,25,5,0
2026-08-25,LIFE-008,n69aa219b9a4f,36,6,0
2026-08-25,LIFE-009,n4d6edde95632,49,12,0
2026-08-25,LIFE-010,n4f304f74e11f,37,5,0
2026-08-25,LIFE-011,nd1b3c376d573,39,12,0
2026-08-25,LIFE-012,n81b245ad2653,33,7,0
2026-08-25,OTEPAY-11,n7e5f69222797,22,7,0
2026-08-25,,n8cdbb5eff743,21,3,0
2026-08-26,CRAFT-001,nf1fcb315c3b5,120,25,0
2026-08-26,OTEPAY-002,n19fca6a0bced,91,21,5
2026-08-26,OTEPAY-004,n9743a1c5dfdf,87,17,0
2026-08-26,OTEPAY-009,na5bdf99d5706,88,12,0
2026-08-26,OTEPAY-001,n6396852d7c6a,82,19,0
2026-08-26,LIFE-004,nffa7e9ae3234,74,18,2
2026-08-26,LIFE-003,n003e73497ad9,69,13,0
2026-08-26,PLAYVEE-001,n3cb576e5f930,66,12,0
2026-08-26,LIFE-006,n41dd15343129,69,10,0
2026-08-26,OTHER-001,n11933f33e051,62,18,0
2026-08-26,OTEPAY-003,nf27bdd46ade5,62,15,0
2026-08-26,OTEPAY-005,n30fda5bfa761,59,14,0
2026-08-26,CRAFT-003,nf9c5e7c96ad4,57,13,2
2026-08-26,CRAFT-005,ne9d6aa722ef5,60,23,2
2026-08-26,AILAB-001,n82c683a34214,55,19,0
2026-08-26,LIFE-005,n265870eeb1fa,54,16,0
2026-08-26,CRAFT-004,n88c4129a954e,51,11,0
2026-08-26,LIFE-007,n206593e0ab29,51,19,0
2026-08-26,CRAFT-002,n2e454f52ac1b,43,7,0
2026-08-26,OTEPAY-008,n7e41c4f77a39,40,5,0
2026-08-26,AILAB-002,n3eae2826d2a6,40,11,2
